id,date,home_team,away_team,home_goals,away_goals,match_result,ht_home_goals,ht_away_goals,ht_result,home_shots,away_shots,home_shots_target,away_shots_target,home_red_cards,away_red_cards,b365h,b365d,b365a,season,league,home_team_goals_avg_last_5,away_goals_avg_last_5,ht_home_goals_avg_last_5,ht_away_goals_avg_last_5,home_balance_1h,home_balance_2h,away_balance_1h,away_balance_2h,home_form_1h_last_5,away_form_1h_last_5,home_form_2h_last_5,away_form_2h_last_5,home_shots_avg_last_5,away_shots_avg_last_5,home_shots_target_avg_last_5,away_shots_target_avg_last_5,home_red_cards_avg_last_5,away_red_cards_avg_last_5,home_goals_conceded_avg_last_5,away_goals_conceded_avg_last_5,target,home_points,away_points,home_points_avg_last_5,away_points_avg_last_5,home_overall_points_last_5,away_overall_points_last_5
129,2021-08-29,Angers,Rennes,2,0,H,0,0,D,16,7,4,2,0,1,2.9,3.25,2.5,2122,F1,3.0,1.0,1.0,0.0,0,2,0,-2,1.0,-0.0,2.0,-0.0,13.0,6.0,6.0,2.0,0.0,0.0,0.0,1.0,2,3,0,3.0,1.0,2.3333333333333335,1.6666666666666667
136,2021-08-29,Troyes,Monaco,1,2,A,0,1,A,12,7,3,4,0,0,4.33,3.6,1.83,2122,F1,1.0,0.0,1.0,0.0,-1,0,1,0,-1.0,-1.0,0.0,-0.0,15.0,12.0,7.0,3.0,0.0,0.0,2.0,1.0,0,0,3,0.0,0.0,0.3333333333333333,0.3333333333333333
134,2021-08-29,Tottenham,Watford,1,0,H,1,0,H,15,9,8,2,0,0,1.36,4.75,9.0,2122,E0,1.0,0.0,0.0,0.0,1,0,-1,0,0.0,-2.0,1.0,-0.0,13.0,10.0,3.0,1.0,0.0,0.0,0.0,2.0,2,3,0,3.0,0.0,3.0,1.5
147,2021-09-10,Lorient,Lille,2,1,H,1,1,D,14,9,7,3,0,0,3.4,3.4,2.15,2122,F1,1.0,2.0,1.0,1.0,0,1,0,-1,1.0,0.0,0.0,0.0,2.0,13.0,2.0,6.5,0.0,0.0,0.0,2.0,2,3,0,3.0,1.0,1.25,1.25
167,2021-09-11,Crystal Palace,Tottenham,3,0,H,0,0,D,18,2,4,1,0,1,4.2,3.5,1.9,2122,E0,0.0,1.0,0.0,1.0,0,3,0,-3,0.0,1.0,0.0,-0.0,7.0,8.0,2.0,6.0,0.0,0.0,0.0,0.0,2,3,0,1.0,3.0,0.6666666666666666,3.0
166,2021-09-11,Arsenal,Norwich,1,0,H,0,0,D,30,10,7,1,0,0,1.5,4.6,6.0,2122,E0,0.0,0.0,0.0,0.0,0,1,0,-1,-2.0,-2.0,0.0,-3.0,6.0,1.0,3.0,0.0,0.0,0.0,2.0,5.0,2,3,0,0.0,0.0,0.0,0.0
164,2021-09-11,Chelsea,Aston Villa,3,0,H,1,0,H,12,18,4,6,0,0,1.28,5.5,11.0,2122,E0,3.0,2.0,2.0,0.0,1,2,-1,-2,2.0,-2.0,1.0,1.0,13.0,11.0,6.0,2.0,0.0,0.0,0.0,3.0,2,3,0,3.0,0.0,2.3333333333333335,1.3333333333333333
163,2021-09-11,Man United,Newcastle,4,1,H,1,0,H,21,12,7,3,0,0,1.18,7.5,15.0,2122,E0,5.0,0.0,1.0,0.0,1,2,-1,-2,1.0,-1.0,3.0,-1.0,16.0,9.0,8.0,1.0,0.0,0.0,1.0,2.0,2,3,0,3.0,0.0,2.3333333333333335,0.3333333333333333
162,2021-09-11,Southampton,West Ham,0,0,D,0,0,D,11,13,3,3,0,1,2.9,3.5,2.4,2122,E0,1.0,4.0,1.0,1.0,0,0,0,0,1.0,-1.0,-1.0,3.0,8.0,8.0,3.0,9.0,0.0,0.0,1.0,2.0,1,1,1,1.0,3.0,0.6666666666666666,2.3333333333333335
161,2021-09-11,Watford,Wolves,0,2,A,0,0,D,6,14,2,5,0,0,3.4,3.2,2.25,2122,E0,3.0,0.0,2.0,0.0,0,-2,0,2,2.0,-1.0,-1.0,-0.0,13.0,17.0,7.0,3.0,0.0,0.0,2.0,1.0,0,0,3,3.0,0.0,1.0,0.0
160,2021-09-11,Monaco,Marseille,0,2,A,0,1,A,7,13,0,5,0,0,2.0,3.6,3.6,2122,F1,0.5,3.0,0.5,0.0,-1,-1,1,1,0.0,-2.0,-1.0,3.0,12.0,21.0,2.5,7.0,0.5,0.0,1.5,2.0,0,0,3,0.5,3.0,1.0,2.3333333333333335
159,2021-09-11,Paris SG,Clermont,4,0,H,2,0,H,13,14,7,2,0,0,1.25,6.5,10.0,2122,F1,4.0,2.5,3.0,0.5,2,2,-2,-2,3.0,-1.0,-1.0,2.0,11.0,18.0,6.0,7.5,0.0,0.0,2.0,1.5,2,3,0,3.0,2.0,3.0,2.0
158,2021-09-11,Greuther Furth,Wolfsburg,0,2,A,0,1,A,7,10,3,4,0,0,5.5,4.33,1.57,2122,D1,1.0,2.0,0.0,0.0,-1,-1,1,1,-1.0,-0.0,1.0,1.0,20.0,12.0,5.0,3.0,0.0,0.0,1.0,1.0,0,0,3,1.0,3.0,0.3333333333333333,3.0
157,2021-09-11,Atalanta,Fiorentina,1,2,A,0,1,A,10,7,5,2,0,0,1.55,4.33,5.5,2122,I1,0.0,1.0,0.0,0.0,-1,0,1,0,0.0,-1.0,0.0,-1.0,21.0,11.0,3.0,8.0,0.0,1.0,0.0,3.0,0,0,3,1.0,0.0,2.0,1.5
168,2021-09-11,Leicester,Man City,0,1,A,0,0,D,6,25,1,8,0,0,6.0,4.0,1.57,2122,E0,1.0,0.0,1.0,0.0,0,-1,0,1,1.0,-0.0,0.0,-1.0,9.0,18.0,5.0,4.0,0.0,0.0,0.0,1.0,0,0,3,3.0,0.0,2.0,2.0
155,2021-09-11,Leverkusen,Dortmund,3,4,A,2,1,H,11,15,5,7,0,0,3.1,3.8,2.15,2122,D1,4.0,1.0,2.0,0.0,1,-2,-1,2,2.0,-1.0,2.0,-0.0,13.0,19.0,6.0,2.0,0.0,0.0,0.0,2.0,0,0,3,3.0,0.0,2.3333333333333335,2.0
156,2021-09-11,Freiburg,FC Koln,1,1,D,0,1,A,10,15,3,5,0,1,2.2,3.6,3.1,2122,D1,2.0,2.0,1.0,0.0,-1,1,1,-1,1.0,-0.0,0.0,-1.0,8.0,10.0,4.0,3.0,0.0,0.0,1.0,3.0,1,1,1,3.0,0.0,2.3333333333333335,2.0
148,2021-09-11,Empoli,Venezia,1,2,A,0,1,A,17,10,6,3,0,0,1.8,3.8,4.2,2122,I1,1.0,0.0,1.0,0.0,-1,0,1,0,-2.0,-0.5,0.0,-2.0,16.0,8.0,5.0,3.5,0.0,0.0,3.0,2.5,0,0,3,0.0,0.0,1.5,0.0
149,2021-09-11,Napoli,Juventus,2,1,H,0,1,A,24,7,7,4,0,0,2.4,3.6,2.8,2122,I1,2.0,2.0,0.0,2.0,-1,2,1,-2,0.0,2.0,2.0,-2.0,13.0,11.0,4.0,4.0,1.0,0.0,0.0,2.0,2,3,0,3.0,1.0,3.0,0.5
150,2021-09-11,Hoffenheim,Mainz,0,2,A,0,1,A,12,11,0,4,0,0,2.0,3.75,3.5,2122,D1,2.0,0.0,2.0,0.0,-1,-1,1,1,1.0,-1.0,-1.0,-1.0,7.0,16.0,3.0,3.0,0.0,0.0,2.0,2.0,0,0,3,1.0,0.0,1.3333333333333333,2.0
165,2021-09-11,Brentford,Brighton,0,1,A,0,0,D,7,4,1,2,0,0,2.8,3.2,2.62,2122,E0,2.0,2.0,1.0,0.0,0,-1,0,1,1.0,-1.0,1.0,2.0,8.0,14.0,3.0,8.0,0.0,0.0,0.0,1.0,0,0,3,3.0,3.0,1.6666666666666667,2.0
152,2021-09-11,Ath Bilbao,Mallorca,2,0,H,0,0,D,19,7,5,1,0,0,1.72,3.6,5.25,2122,SP1,1.0,1.0,0.0,0.0,0,2,0,-2,0.0,-0.0,0.0,1.0,16.0,12.0,7.0,2.0,0.0,0.0,1.0,0.0,2,3,0,1.0,3.0,1.6666666666666667,2.3333333333333335
153,2021-09-11,Levante,Vallecano,1,1,D,1,0,H,7,22,2,6,0,0,2.1,3.4,3.5,2122,SP1,3.0,0.0,0.0,0.0,1,-1,-1,1,-1.0,-0.5,1.0,-1.5,8.0,6.5,4.0,2.0,1.0,0.5,3.0,2.0,1,1,1,1.0,0.0,0.6666666666666666,1.0
